dealstatus,same_sector,same_country,target_sector,acquiror_sector,deal_type,roa_target,initial_stake
0,False,False,Chemicals,Other,acquisition_100%,0.0,0.0
0,True,False,Chemicals,Chemicals,acquisition_100%,-0.000111,0.0
0,True,True,Machinery,Machinery,acquisition_100%,0.027818,0.0
0,True,True,Machinery,Machinery,acquisition_100%,0.027818,0.0
0,False,True,Transport,Other,acquisition_100%,-0.023113,0.0
0,False,True,Machinery,Primary,acquisition_100%,-0.100042,0.0
0,True,False,Chemicals,Chemicals,acquisition_100%,0.138059,0.0
0,True,False,Transport,Transport,acquisition_100%,0.084332,0.0
0,True,True,Machinery,Machinery,acquisition_100%,0.161247,0.0
0,True,True,Food,Other,acquisition_100%,0.20924,0.0
0,False,True,Chemicals,Wholesale,acquisition_100%,0.009338,35.92
0,False,True,Chemicals,Wholesale,acquisition_100%,0.009338,35.92
0,True,True,Transport,Transport,acquisition_100%,-0.023113,0.0
0,True,True,Wholesale,Wholesale,acquisition_100%,0.036429,0.0
0,True,True,Other,Other,acquisition_other%,0.019939,0.0
0,True,True,Other,Other,acquisition_100%,-0.011774,0.0
0,True,True,Wholesale,Wholesale,acquisition_100%,0.024816,0.0
0,True,False,Other,Other,acquisition_100%,0.084471,0.0
0,True,True,Gas,Gas,acquisition_100%,0.091624,0.0
0,True,True,Gas,Gas,acquisition_100%,0.091624,0.0
0,True,True,Machinery,Machinery,acquisition_100%,0.195024,0.0
0,True,False,Gas,Gas,acquisition_100%,-0.003573,23.27
0,True,True,Metals,Metals,acquisition_100%,-0.003201,0.0
1,False,True,Other,Other,acquisition_other%,-0.008967,0.0
0,False,True,Primary,Metals,acquisition_100%,0.042465,0.0
0,False,False,Primary,Chemicals,acquisition_100%,-0.007813,0.0
0,True,False,Machinery,Machinery,acquisition_100%,0.070105,0.0
1,False,True,Chemicals,Wholesale,acquisition_stake_increased,-0.000644,35.92
0,True,False,Machinery,Machinery,acquisition_100%,0.057888,0.0
0,True,True,Wholesale,Wholesale,acquisition_100%,-0.014569,0.0
0,True,True,Wholesale,Wholesale,acquisition_100%,-0.014569,0.0
1,True,False,Metals,Metals,acquisition_other%,-0.001787,0.0
1,True,True,Chemicals,Chemicals,acquisition_100%,0.006841,20.343
0,False,True,Machinery,Wholesale,acquisition_100%,0.065973,0.0
0,True,True,Education,Education,acquisition_100%,0.076,0.0
0,True,True,Education,Education,acquisition_100%,0.076,0.0
0,True,False,Gas,Gas,acquisition_100%,0.045798,0.0
1,False,False,Wholesale,Other,acquisition_other%,0.094339,0.0
0,True,True,Machinery,Machinery,acquisition_100%,-0.013783,0.0
1,True,True,Transport,Transport,acquisition_100%,-0.076255,0.0
0,True,True,Machinery,Machinery,acquisition_100%,-0.017048,0.0
0,False,False,Primary,Chemicals,acquisition_100%,-0.081325,18.95
0,True,True,Primary,Primary,acquisition_100%,0.003917,0.0
0,True,True,Metals,Metals,acquisition_100%,0.101018,0.0
0,False,True,Machinery,Other,acquisition_100%,-0.077782,10.0
0,True,True,Metals,Metals,acquisition_100%,0.101018,0.0
0,True,True,Education,Education,acquisition_100%,0.001872,0.0
1,True,True,Wholesale,Wholesale,acquisition_other%,-0.014569,0.0
0,False,True,Publishing,Other,acquisition_100%,0.091483,0.0
1,False,True,Machinery,Other,acquisition_stake_increased,-0.013783,19.99
1,True,True,Other,Other,acquisition_100%,0.023353,0.0
0,True,False,Transport,Transport,acquisition_100%,0.069137,0.0
0,False,True,Publishing,Machinery,acquisition_100%,0.073103,0.0
0,False,True,Machinery,Other,acquisition_100%,0.078419,9.45
0,False,False,Other,Other,acquisition_100%,0.001155,0.0
0,True,False,Food,Other,acquisition_100%,0.031482,0.0
1,False,False,Construction,Other,acquisition_stake_increased,0.044363,36.595
1,True,False,Gas,Gas,acquisition_other%,0.140955,0.0
0,True,False,Wholesale,Wholesale,acquisition_100%,0.138622,0.0
0,True,False,Wholesale,Wholesale,acquisition_100%,0.138622,0.0
0,True,False,Wholesale,Wholesale,acquisition_100%,0.138622,0.0
1,True,False,Transport,Transport,acquisition_other%,-0.007574,0.0
1,True,True,Primary,Primary,acquisition_100%,0.136029,0.0
1,True,True,Other,Other,acquisition_stake_increased,0.182221,14.536
0,True,True,Publishing,Other,acquisition_100%,-0.132865,0.0
0,False,False,Construction,Other,acquisition_100%,-0.540872,0.0
0,True,True,Other,Other,acquisition_100%,-0.02549,0.0
0,True,True,Publishing,Other,acquisition_100%,-0.132865,0.0
0,False,True,Other,Construction,acquisition_100%,0.11046,0.0
0,True,True,Metals,Metals,acquisition_100%,0.023523,9.98
0,False,True,Other,Other,acquisition_100%,0.030823,0.0
1,False,False,Chemicals,Construction,acquisition_stake_increased,0.009318,4.99
0,False,False,Primary,Other,acquisition_stake_increased,-0.012568,30.7
1,True,True,Primary,Primary,acquisition_other%,-0.170838,0.0
0,True,True,Construction,Construction,acquisition_stake_increased,0.017436,29.836
0,True,True,Education,Education,acquisition_100%,0.060195,29.9
0,False,True,Publishing,Other,other,-0.012617,0.0
0,True,False,Primary,Primary,acquisition_100%,0.09384,0.0
0,True,True,Publishing,Other,acquisition_100%,-0.012617,22.6
0,True,True,Publishing,Other,acquisition_100%,0.029974,0.0
0,True,True,Primary,Primary,acquisition_100%,0.144883,0.0
0,False,True,Publishing,Other,other,-0.012617,0.0
0,True,True,Publishing,Other,acquisition_100%,-0.012617,22.6
0,True,True,Transport,Transport,acquisition_100%,0.026955,0.0
0,False,True,Machinery,Other,acquisition_100%,-0.011383,27.19
1,True,True,Other,Other,acquisition_other%,0.178031,0.0
0,False,True,Machinery,Other,acquisition_100%,-0.118259,0.0
1,False,False,Other,Construction,acquisition_other%,0.007096,0.0
1,False,False,Food,Other,acquisition_other%,0.056839,0.0
0,True,True,Other,Other,acquisition_100%,0.150846,0.0
0,True,True,Primary,Primary,acquisition_100%,-0.07503,0.0
1,False,True,Publishing,Other,acquisition_other%,-0.012617,0.0
0,True,True,Other,Other,acquisition_100%,0.191425,0.0
0,True,True,Other,Other,acquisition_100%,0.191425,0.0
0,True,False,Machinery,Machinery,acquisition_100%,0.002116,0.0
0,True,False,Other,Other,acquisition_100%,0.176264,0.0
1,True,True,Food,Other,acquisition_other%,0.022648,0.0
0,True,False,Machinery,Machinery,acquisition_100%,0.003524,0.0
1,True,False,Food,Other,acquisition_stake_increased,0.161084,29.2
0,True,True,Other,Other,acquisition_100%,0.191425,0.0
1,False,True,Metals,Other,acquisition_stake_increased,-0.007692,35.0
1,False,False,Chemicals,Other,acquisition_100%,0.184152,0.0
0,True,False,Machinery,Machinery,acquisition_100%,0.003524,0.0
0,True,False,Machinery,Machinery,acquisition_100%,0.003524,0.0
0,True,True,Primary,Primary,acquisition_100%,-0.120366,0.0
1,False,True,Machinery,Other,acquisition_other%,0.048561,0.0
0,True,True,Other,Other,acquisition_100%,0.062781,3.0
0,False,False,Education,Other,acquisition_100%,0.06518,0.0
1,False,True,Other,Construction,acquisition_other%,0.191425,0.0
1,False,False,Other,Other,acquisition_100%,0.001728,0.0
0,True,False,Machinery,Machinery,acquisition_100%,0.003524,0.0
0,False,True,Education,Other,acquisition_other%,0.06518,0.002
1,False,True,Education,Other,acquisition_other%,0.06518,0.002
0,False,True,Education,Other,acquisition_other%,0.06518,0.002
