"n_features","score","model"
1,0.6652883,"tree"
2,0.6862077,"tree"
3,0.6900997,"tree"
4,0.6870591,"tree"
5,0.6898565,"tree"
6,0.6902214,"tree"
7,0.7009243,"tree"
8,0.7119922,"tree"
9,0.7198978,"tree"
10,0.7250061,"tree"
11,0.7262223,"tree"
12,0.7313306,"tree"
13,0.7293846,"tree"
14,0.7276818,"tree"
15,0.7217222,"tree"
16,0.7236682,"tree"
1,0.6736804,"svm"
2,0.6995865,"svm"
3,0.7060326,"svm"
4,0.7079786,"svm"
5,0.7130868,"svm"
6,0.7183167,"svm"
7,0.7235466,"svm"
8,0.7285332,"svm"
9,0.7316955,"svm"
10,0.7347361,"svm"
11,0.7352226,"svm"
12,0.7353442,"svm"
13,0.7352226,"svm"
14,0.7351009,"svm"
15,0.7344928,"svm"
16,0.733155,"svm"
1,0.676721,"lg"
2,0.7021406,"lg"
3,0.7116273,"lg"
4,0.7194113,"lg"
5,0.7230601,"lg"
6,0.7291413,"lg"
7,0.7310873,"lg"
8,0.731209,"lg"
9,0.7341279,"lg"
10,0.7351009,"lg"
11,0.7354658,"lg"
12,0.7360739,"lg"
13,0.7360739,"lg"
14,0.7360739,"lg"
15,0.7355874,"lg"
16,0.7352226,"lg"
1,0.6662613,"naivebayes"
2,0.6892484,"naivebayes"
3,0.6994649,"naivebayes"
4,0.7062758,"naivebayes"
5,0.710776,"naivebayes"
6,0.7130868,"naivebayes"
7,0.7151545,"naivebayes"
8,0.7180735,"naivebayes"
9,0.7179518,"naivebayes"
10,0.7177086,"naivebayes"
11,0.7172221,"naivebayes"
12,0.7162491,"naivebayes"
13,0.7186816,"naivebayes"
14,0.71856,"naivebayes"
15,0.7173437,"naivebayes"
16,0.7161275,"naivebayes"
1,0.661153,"knn"
2,0.6931404,"knn"
3,0.7203843,"knn"
4,0.7303576,"knn"
5,0.7521284,"knn"
6,0.7558988,"knn"
7,0.7601557,"knn"
8,0.7659937,"knn"
9,0.7706154,"knn"
10,0.7653856,"knn"
11,0.7701289,"knn"
12,0.766845,"knn"
13,0.7642909,"knn"
14,0.7612503,"knn"
15,0.7561421,"knn"
16,0.7488446,"knn"
1,0.6705181,"randomforest"
2,0.6975189,"randomforest"
3,0.7219655,"randomforest"
4,0.7616152,"randomforest"
5,0.7777913,"randomforest"
6,0.7893457,"randomforest"
7,0.7965215,"randomforest"
8,0.7995622,"randomforest"
9,0.8006568,"randomforest"
10,0.8036974,"randomforest"
11,0.8054001,"randomforest"
12,0.8055218,"randomforest"
13,0.8054001,"randomforest"
14,0.8075894,"randomforest"
15,0.8055218,"randomforest"
16,0.8043055,"randomforest"
1,0.6910727,"boosting"
2,0.7296278,"boosting"
3,0.7567502,"boosting"
4,0.772683,"boosting"
5,0.7842374,"boosting"
6,0.7943323,"boosting"
7,0.7976162,"boosting"
8,0.8026028,"boosting"
9,0.8049136,"boosting"
10,0.8071029,"boosting"
11,0.8073461,"boosting"
12,0.8066164,"boosting"
13,0.8061299,"boosting"
14,0.8072245,"boosting"
15,0.8052785,"boosting"
16,0.805765,"boosting"
