satisfaction,evaluation,projects,hours,tenure,accident,left,promotion,department,salary
8.5,6.4,4,238,2,no,no,no,technical,low
8.5,8.9,6,145,2,yes,no,no,mktg_sales,low
2.4,6.7,5,254,4,no,no,no,management,high
2,9.4,5,274,3,no,yes,no,product_rand,low
9.8,8.8,5,236,2,no,no,no,product_rand,low
9.1,6.6,4,162,1,yes,no,no,management,medium
8.5,5.1,5,139,3,no,no,yes,product_rand,medium
8.9,7.4,5,244,1,no,no,no,product_rand,medium
9,8.6,2,175,3,no,no,no,product_rand,medium
7.3,7.9,4,236,1,no,no,no,management,medium
8.7,7,4,188,1,no,no,no,management,low
6.8,7.1,3,185,1,no,no,no,acct_it,low
9.1,6.2,4,241,5,no,no,no,acct_it,medium
7.9,6.2,4,222,1,no,no,no,management,medium
6.6,5.7,5,211,2,no,no,no,product_rand,medium
5.9,5.5,3,257,2,no,no,no,mktg_sales,medium
7.2,7.4,4,242,2,no,no,no,acct_it,low
8.7,5.8,5,187,6,no,no,no,product_rand,medium
1.9,9.7,6,287,3,no,yes,no,management,low
5.6,5,4,130,2,no,no,no,mktg_sales,medium
5.5,9.5,6,204,2,no,no,no,acct_it,low
3.6,4.3,5,170,2,no,no,no,product_rand,low
8,7.9,3,200,1,no,no,no,product_rand,low
8,8.6,5,270,4,no,yes,no,product_rand,low
4.5,4.9,3,148,2,no,yes,no,product_rand,medium
5,5,2,131,2,no,yes,yes,management,medium
5.3,4.9,2,268,2,no,no,no,management,low
7.3,7.4,6,250,1,no,no,no,acct_it,medium
1.8,7.7,5,285,3,no,yes,no,acct_it,medium
7.7,4.1,3,253,3,no,no,no,mktg_sales,low
6.7,8,5,252,3,no,no,no,support_hr,medium
9.8,8.8,4,203,4,yes,no,no,product_rand,medium
6.2,7.9,6,196,2,no,no,yes,mktg_sales,medium
7.4,5,5,256,2,no,no,no,mktg_sales,medium
6.2,5,4,188,3,no,no,no,product_rand,medium
5,5,1,130,2,no,yes,no,management,medium
5.9,6.1,4,118,4,no,no,no,management,low
9.2,7,4,196,1,no,no,no,technical,low
5.9,4.4,2,150,1,no,no,yes,acct_it,low
6.7,7,6,164,2,no,no,no,support_hr,high
2.4,5.6,5,219,4,no,no,no,product_rand,high
6.6,9.1,3,198,2,no,no,no,product_rand,medium
7.6,8.3,4,270,4,no,no,no,product_rand,low
9.1,8.3,4,259,4,no,yes,no,technical,low
6.1,5.8,3,248,2,no,no,no,acct_it,medium
6.9,6.7,3,242,1,yes,no,no,acct_it,low
9.4,8.4,2,160,2,no,no,no,acct_it,high
7.3,4.8,4,97,3,no,no,no,mktg_sales,low
9.3,8.1,4,201,1,no,no,no,management,medium
9.3,9,5,245,4,no,yes,no,product_rand,low
4.9,4.8,1,141,2,no,yes,no,product_rand,low
9.6,6.2,2,160,2,no,no,no,product_rand,low
5.8,5,5,189,2,no,no,no,management,low
8.8,7,4,230,2,no,no,no,mktg_sales,medium
9.7,9.1,5,262,2,yes,no,no,acct_it,low
9.8,9.1,2,184,3,no,no,no,technical,medium
3.2,7,6,151,4,yes,no,no,product_rand,low
7.4,9.5,7,205,2,yes,no,no,product_rand,medium
6.8,7.1,6,208,1,no,no,no,acct_it,low
5.4,4.3,4,208,3,yes,no,no,acct_it,medium
9.9,7.1,3,160,2,no,no,no,product_rand,low
4.7,5.2,1,137,2,no,yes,no,product_rand,low
6.6,9.4,5,255,3,no,no,no,technical,low
2,9.7,5,279,3,no,yes,no,mktg_sales,medium
2.6,5.4,3,167,2,no,no,no,acct_it,medium
2.6,7.3,5,232,3,no,no,no,product_rand,low
8.3,8.1,3,221,4,yes,yes,no,technical,low
6.1,6.8,3,107,5,no,no,no,acct_it,medium
9.3,7.8,6,190,3,no,no,no,acct_it,high
4.6,5,1,125,2,no,yes,no,technical,low
5.9,7.5,4,265,1,no,no,no,acct_it,low
5.6,5.1,4,188,2,no,no,no,management,low
8.7,7.2,2,216,2,no,no,no,product_rand,low
4.4,5.2,3,148,2,no,yes,no,product_rand,low
2.3,5.1,4,173,3,no,no,no,management,medium
5.6,7.2,4,144,1,no,no,no,technical,medium
1.8,9.7,7,264,3,no,yes,no,management,medium
8.1,7.4,3,167,2,no,no,no,mktg_sales,low
6.8,7,5,140,3,no,no,no,management,medium
1.9,8,7,265,3,no,yes,no,mktg_sales,low
3.3,4.6,3,211,3,no,yes,no,acct_it,medium
8.4,6.5,4,180,6,yes,no,no,product_rand,medium
6.5,6.4,4,203,2,no,no,no,product_rand,low
4.8,6.7,1,115,2,no,no,no,product_rand,high
8.7,5.6,5,204,2,no,no,no,support_hr,high
7.4,5.7,3,218,2,no,no,no,mktg_sales,low
8.5,5,4,164,2,yes,no,no,mktg_sales,medium
7.8,5.7,3,151,2,yes,no,no,management,low
6.2,7.9,5,131,2,no,no,no,technical,medium
7.8,7,5,195,2,no,no,no,mktg_sales,low
5.1,4.8,3,146,2,no,yes,no,product_rand,medium
6,8.9,4,209,2,no,no,no,mktg_sales,low
6.7,9.1,5,246,2,no,no,no,acct_it,medium
2.7,7.9,4,172,2,yes,no,no,acct_it,low
9.9,8.6,3,165,1,no,no,no,product_rand,low
5.1,5.1,3,134,2,no,yes,no,acct_it,low
4.6,5.2,3,139,2,no,yes,no,product_rand,medium
5.8,4.7,5,105,5,no,no,no,support_hr,high
3.6,6.8,5,206,2,no,no,no,management,low
8.3,9.8,5,233,4,no,yes,no,technical,medium
8.7,8.6,2,181,2,no,no,no,mktg_sales,low
8.8,4.9,3,151,1,no,no,no,product_rand,low
9.5,5.5,2,157,2,no,no,no,product_rand,low
4.7,5.3,1,160,2,no,yes,no,product_rand,low
8.6,7.6,4,211,1,yes,no,no,management,low
4.5,5.7,3,144,2,no,yes,no,technical,medium
4.7,5.2,2,150,2,no,yes,no,mktg_sales,medium
2.3,8.8,4,159,3,no,no,no,product_rand,medium
8.1,8.7,3,220,2,no,no,no,management,medium
8.4,8.2,5,221,5,no,yes,no,product_rand,medium
7.4,6.9,3,180,2,yes,no,no,mktg_sales,medium
6.1,9.1,3,198,1,no,no,no,product_rand,low
5.1,5.5,3,149,2,no,yes,no,mktg_sales,medium
6.7,8.9,4,243,2,no,no,no,acct_it,medium
4.3,4.6,3,158,2,no,yes,no,technical,low
5.5,7.4,3,275,4,no,no,no,technical,low
9.8,8.5,3,182,2,no,no,no,management,medium
6.6,9.7,4,176,1,no,no,no,acct_it,high
4.2,7.2,3,182,2,no,no,no,management,high
1.8,8.4,6,296,3,no,yes,no,acct_it,low
7.2,6.3,4,274,1,no,no,no,acct_it,low
7.4,8.7,4,169,2,no,no,no,product_rand,low
9.9,9.1,5,140,3,no,no,no,product_rand,low
5.8,7,5,228,2,no,no,no,product_rand,low
5.4,7.1,2,117,2,no,no,no,product_rand,high
9.6,8.1,4,265,1,no,no,no,management,low
8.5,8.4,3,154,2,no,no,no,product_rand,low
7.8,9.7,2,275,2,no,no,no,product_rand,low
9.5,9,6,194,3,no,no,no,management,low
8.6,8.5,6,244,2,no,no,no,management,medium
7.4,9,3,133,2,no,no,no,product_rand,medium
5.4,7.1,4,150,1,no,no,no,product_rand,medium
7.1,9.9,4,162,1,no,no,no,technical,medium
8.7,6,4,234,1,yes,no,no,management,low
8.4,8.7,6,271,5,no,no,no,management,medium
8.7,9,2,183,2,yes,no,no,management,low
9.1,6.9,4,269,1,no,no,no,acct_it,medium
2,9.4,8,280,4,no,yes,no,management,low
5.4,9.1,3,232,2,no,no,no,product_rand,medium
5.7,5.8,2,199,1,no,no,no,mktg_sales,medium
1.9,9,6,285,3,no,yes,no,product_rand,low
8.1,4.4,3,234,2,no,no,no,technical,medium
4.7,5.7,3,158,2,no,yes,no,technical,medium
8.1,5.9,3,134,2,no,yes,yes,support_hr,low
7.6,6.9,3,228,1,no,no,yes,product_rand,medium
7.2,6.6,4,176,2,no,no,no,mktg_sales,low
6,9.9,4,233,2,no,no,no,product_rand,high
2,9.4,5,271,3,no,yes,no,product_rand,low
6.5,4.6,2,171,2,no,no,no,technical,medium
7.6,9.5,2,219,3,no,no,no,product_rand,medium
7.8,5.5,3,159,2,no,no,no,product_rand,low
8.9,7.1,5,253,2,no,no,no,mktg_sales,medium
6.3,5.9,4,173,2,no,no,no,technical,low
8.4,6.7,4,200,2,yes,no,no,mktg_sales,low
6.9,6.2,3,154,2,yes,no,no,acct_it,medium
4.7,5.2,1,130,2,yes,yes,no,management,low
8.3,7.7,5,253,1,no,no,no,management,low
5.7,6.1,2,200,2,no,no,no,product_rand,high
7.6,6.2,5,183,3,no,no,no,acct_it,low
2.8,9.8,1,232,2,no,no,no,product_rand,low
5.1,4.6,1,126,2,no,yes,no,acct_it,low
8.9,5.4,3,238,1,yes,no,no,acct_it,low
9.8,8.9,4,181,1,no,no,no,product_rand,low
7.1,8,1,253,1,yes,no,no,product_rand,low
5.7,6.1,5,188,3,yes,no,no,product_rand,medium
7.9,5.7,4,184,1,no,no,no,product_rand,medium
6.4,9.5,3,162,3,no,no,no,product_rand,medium
5.7,8.3,2,155,1,no,no,no,product_rand,medium
9.2,9.8,3,144,2,no,no,no,technical,low
9.2,6.1,4,260,2,no,no,no,acct_it,low
7.8,7.4,2,223,1,no,no,no,technical,low
4.9,4.8,3,159,2,no,yes,no,product_rand,medium
8.9,5.1,2,216,6,no,no,no,product_rand,medium
9.3,9.9,4,191,2,no,no,no,product_rand,medium
6.4,5.4,3,181,1,no,no,no,acct_it,low
9.4,9.5,7,149,2,no,no,no,acct_it,low
5.5,6.3,3,230,3,no,no,no,product_rand,low
6.3,10,5,278,2,no,no,no,mktg_sales,medium
8.4,9.4,3,249,1,no,no,no,management,low
7.9,6.5,2,182,2,no,no,no,product_rand,low
6.3,6.7,3,167,2,no,no,no,management,low
3.3,4.6,3,218,3,no,yes,no,acct_it,medium
6.4,7.9,4,219,1,no,no,no,product_rand,low
8.8,7.4,5,208,2,no,no,no,technical,low
9.4,8.6,5,150,2,no,no,no,acct_it,medium
7.7,9.5,5,167,3,no,no,no,acct_it,medium
9.6,9.4,4,174,2,no,no,no,product_rand,medium
9.1,10,5,224,4,no,yes,no,management,low
9.6,4,5,288,3,no,no,no,management,low
1.9,8.8,8,265,3,no,yes,no,support_hr,medium
9.9,8.7,4,223,2,no,no,no,management,medium
9.6,5.4,2,155,1,no,no,no,acct_it,medium
6.1,7.5,4,256,2,no,no,no,mktg_sales,medium
8.3,7.3,3,183,2,no,no,no,management,low
8.7,4.8,4,214,2,no,no,no,product_rand,medium
6.3,9.2,3,201,9,no,no,no,management,medium
5.3,8.9,4,227,2,no,no,no,product_rand,low
6,7.5,6,239,1,no,yes,no,product_rand,medium
4.6,4.9,3,163,2,no,yes,yes,product_rand,low
7.1,7.6,2,193,2,yes,no,no,acct_it,medium
6,4,2,157,2,no,no,no,management,low
3.8,4.2,1,164,4,no,no,no,technical,low
8.6,9.4,5,257,4,no,yes,no,acct_it,low
5.8,6.1,4,152,9,no,no,no,support_hr,high
6.9,7.7,4,201,2,no,no,no,product_rand,low
1.8,9,8,287,3,no,yes,no,mktg_sales,low
4.6,5,1,130,2,no,yes,no,product_rand,low
5.4,3.6,2,189,2,no,no,no,product_rand,low
4.9,5.1,3,140,2,no,yes,no,product_rand,low
5.1,5.4,3,137,2,no,yes,no,management,medium
6.3,7.5,3,192,1,no,no,no,product_rand,medium
7,6.6,6,148,2,no,no,no,mktg_sales,medium
4,6.2,3,117,5,no,no,no,product_rand,medium
